location,totalConfirmedCases,newlyConfirmedCases,totalDeaths,newDeaths,totalRecoveredCases,newlyRecoveredCases
Afghanistan,55696,16,2442,4,49281,195
Albania,104313,986,1736,21,67158,849
Algeria,112622,161,2973,3,77683,146
Andorra,10799,24,110,0,10356,37
Angola,20695,55,502,1,19238,17
Anguilla,18,0,0,0,18,0
Antigua and Barbuda,701,55,14,0,271,38
Argentina,2093645,8234,51795,145,1886732,4164
Armenia,171227,0,3179,0,162984,0
Aruba,7804,29,71,0,7494,58
Australia,6991,0,98,0,6301,0
Austria,452767,2391,8493,23,425786,1438
Azerbaijan,233770,126,3209,3,228299,142
Bahamas,94,0,11,0,41,0
Bahrain,120495,637,439,2,113132,809
Bangladesh,544954,410,8384,5,494755,957
Barbados,2949,42,32,0,2171,79
Belarus,282898,1191,1948,9,273146,1413
Belgium,763885,3076,22006,18,52091,145
Belize,12280,9,315,0,11824,8
Benin,5434,0,70,0,4248,0
Bermuda,705,2,12,0,682,1
Bhutan,867,0,1,0,862,0
Bolivia,246822,1103,11577,30,191081,1249
Bosnia and Herzegovina,130510,757,5062,11,114995,634
Botswana,28371,650,310,10,23244,471
Brazil,10393886,67878,251661,1582,9323696,42678
British Virgin Islands,114,0,1,0,95,0
Brunei,185,0,3,0,178,0
Bulgaria,243946,1822,10079,53,202694,689
Burkina Faso,11914,27,142,0,11340,20
Burma,181,0,6,0,84,0
Cabo Verde,15201,40,145,0,14694,56
Cambodia,741,44,0,0,477,0
Cameroon,35714,1965,551,28,32594,1232
Canada,863496,3146,21868,58,819761,3101
Cape Verde,1,0,0,0,0,0
CAR,1,0,0,0,0,0
Cayman Islands,438,7,2,0,405,0
Central African Republic,5004,0,63,0,4920,0
Chad,3934,30,137,1,3420,22
Channel Islands,4032,1,86,0,3893,0
Chile,812344,4472,20310,137,770190,2858
China,93904,13,4831,0,89558,13
Colombia,2241225,3683,59396,136,2138193,4139
Costa Rica,203914,418,2796,3,175883,1787
Cote d'Ivoire,32295,0,188,0,31224,0
Croatia,241592,544,5489,12,233170,278
Cruise Ship: Diamond Princess,712,0,13,0,699,0
Cuba,47566,670,312,4,42809,906
Curacao,4708,3,22,0,4624,4
Cyprus,33909,199,231,0,2057,0
Czechia,1198168,0,19835,0,1046575,0
Democratic Republic of the Congo,25144,0,700,0,16135,0
Denmark,209682,603,2351,6,201154,439
Djibouti,6060,8,63,0,5892,6
Dominica,142,1,0,0,127,1
Dominican Republic,237629,746,3075,9,188300,878
East Timor,1,0,0,0,0,0
Ecuador,281169,2390,15669,35,238817,0
Egypt,180640,589,10541,46,139494,422
El Salvador,59866,631,1832,0,55312,988
Equatorial Guinea,5852,0,91,0,5559,0
Eritrea,2826,37,7,0,2225,52
Estonia,61627,1152,567,10,47460,321
Eswatini,16946,49,650,1,14031,230
Ethiopia,156112,878,2321,5,133607,169
